	Domain	Phylum	Class	Order	Family	Genus	Species
87f53ed897b4a582b1ebd77e27cb2e2f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_eubacterium
3822965bd911f20895ebcac9eed9a567	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
3a22472bf658f3d955b859d3d930ff4b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
f3edec73f58133d192addfe79d217afb	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
efa2ca4fdb2dbd0f37eff9666f058790	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
96119e4345131c6b86641680ffdf7ce6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	unknown	unknown	unknown	unknown
851c064fa3639fe5b0ead2c01b0a4cf8	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
eabab01de032178ae120dc85059c8ec1	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
59a8f4c7ead38b7cc3cf2041d43b1d1b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
02c0103bc95c52c99ea09d995b1c5ed2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
7c9474b3abda7fab4c129ea4bfcc89a7	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
d4276e242cdcf07438e54b3a5a08cd33	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	unknown	unknown
